danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,song_name,Unnamed: 0,title
0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.12300000000000001,0.473,150.046,audio_features,3ee8Jmje8o58CHK66QrVC2,spotify:track:3ee8Jmje8o58CHK66QrVC2,https://api.spotify.com/v1/tracks/3ee8Jmje8o58CHK66QrVC2,https://api.spotify.com/v1/audio-analysis/3ee8Jmje8o58CHK66QrVC2,166606,4,Dark Trap,SAD!,,
0.5920000000000001,0.457,9,-6.081,0,0.0603,0.6609999999999999,0.000331,0.146,0.225,146.04,audio_features,2ZRo7axmMPeSVUvDbGkJah,spotify:track:2ZRo7axmMPeSVUvDbGkJah,https://api.spotify.com/v1/tracks/2ZRo7axmMPeSVUvDbGkJah,https://api.spotify.com/v1/audio-analysis/2ZRo7axmMPeSVUvDbGkJah,110886,4,Dark Trap,Hope,,
0.733,0.402,9,-8.774,1,0.0337,0.7070000000000001,0.0,0.111,0.15,216.01,audio_features,7sQhhSlMui3JOZ4s2j4IjM,spotify:track:7sQhhSlMui3JOZ4s2j4IjM,https://api.spotify.com/v1/tracks/7sQhhSlMui3JOZ4s2j4IjM,https://api.spotify.com/v1/audio-analysis/7sQhhSlMui3JOZ4s2j4IjM,146667,4,Dark Trap,don't fall asleep yet,,
0.649,0.2,2,-19.41,1,0.0507,0.8390000000000001,0.000306,0.20600000000000002,0.866,150.043,audio_features,5zDPkwHEID3BErCrgPbBOw,spotify:track:5zDPkwHEID3BErCrgPbBOw,https://api.spotify.com/v1/tracks/5zDPkwHEID3BErCrgPbBOw,https://api.spotify.com/v1/audio-analysis/5zDPkwHEID3BErCrgPbBOw,160325,4,Dark Trap,Storyboard for a Pessimist,,
0.789,0.825,10,-8.646,1,0.214,0.0863,1.29e-05,0.131,0.24100000000000002,220.074,audio_features,3VAeoKLnJdFBlc9hBtDYn9,spotify:track:3VAeoKLnJdFBlc9hBtDYn9,https://api.spotify.com/v1/tracks/3VAeoKLnJdFBlc9hBtDYn9,https://api.spotify.com/v1/audio-analysis/3VAeoKLnJdFBlc9hBtDYn9,122182,4,Dark Trap,Hard to Remember,,
0.865,0.23,7,-16.194000000000003,1,0.253,0.00498,7.06e-05,0.313,0.313,140.014,audio_features,74JpRsUtgzgtHQynbUZ4Y4,spotify:track:74JpRsUtgzgtHQynbUZ4Y4,https://api.spotify.com/v1/tracks/74JpRsUtgzgtHQynbUZ4Y4,https://api.spotify.com/v1/audio-analysis/74JpRsUtgzgtHQynbUZ4Y4,116750,4,Dark Trap,PISTOL PACKIN,,
0.85,0.805,8,-4.541,1,0.233,0.016,0.0,0.10400000000000001,0.34600000000000003,149.127,audio_features,44ApO1Q5s0dXveC0zRlWxi,spotify:track:44ApO1Q5s0dXveC0zRlWxi,https://api.spotify.com/v1/tracks/44ApO1Q5s0dXveC0zRlWxi,https://api.spotify.com/v1/audio-analysis/44ApO1Q5s0dXveC0zRlWxi,141819,4,Dark Trap,Obey The Walrus,,
0.696,0.879,8,-2.9810000000000003,1,0.152,0.122,0.000157,0.0687,0.354,130.137,audio_features,7t0Bi30yk2WssEyH4coIX8,spotify:track:7t0Bi30yk2WssEyH4coIX8,https://api.spotify.com/v1/tracks/7t0Bi30yk2WssEyH4coIX8,https://api.spotify.com/v1/audio-analysis/7t0Bi30yk2WssEyH4coIX8,161134,4,Dark Trap,Now and Then,,
0.591,0.42,10,-9.922,0,0.17,0.785,4.0600000000000004e-05,0.18600000000000003,0.596,161.963,audio_features,23g3uKdnXOcB0fk5zt9L6y,spotify:track:23g3uKdnXOcB0fk5zt9L6y,https://api.spotify.com/v1/tracks/23g3uKdnXOcB0fk5zt9L6y,https://api.spotify.com/v1/audio-analysis/23g3uKdnXOcB0fk5zt9L6y,142046,4,Dark Trap,Guccy Armor,,
0.665,0.905,7,-5.785,1,0.253,0.161,0.0669,0.907,0.28800000000000003,114.93799999999999,audio_features,1nB6VmrPybx4xwkL80OqdA,spotify:track:1nB6VmrPybx4xwkL80OqdA,https://api.spotify.com/v1/tracks/1nB6VmrPybx4xwkL80OqdA,https://api.spotify.com/v1/audio-analysis/1nB6VmrPybx4xwkL80OqdA,147305,4,Dark Trap,Nihil,,
0.654,0.787,1,-5.885,1,0.45399999999999996,0.5589999999999999,1.4099999999999999e-05,0.165,0.373,119.845,audio_features,2P2Ff4WYuZvabZu6DBzRRq,spotify:track:2P2Ff4WYuZvabZu6DBzRRq,https://api.spotify.com/v1/tracks/2P2Ff4WYuZvabZu6DBzRRq,https://api.spotify.com/v1/audio-analysis/2P2Ff4WYuZvabZu6DBzRRq,117969,4,Dark Trap,Dark Thoughts,,
0.706,0.659,10,-9.23,1,0.337,0.0312,0.011000000000000001,0.11599999999999999,0.204,165.0,audio_features,2QvvPor8hQOUlK5zB3FVMW,spotify:track:2QvvPor8hQOUlK5zB3FVMW,https://api.spotify.com/v1/tracks/2QvvPor8hQOUlK5zB3FVMW,https://api.spotify.com/v1/audio-analysis/2QvvPor8hQOUlK5zB3FVMW,163413,4,Dark Trap,Welcome to Hell,,
0.723,0.619,9,-8.002,0,0.0773,0.354,0.0,0.0979,0.45799999999999996,145.065,audio_features,6tqdzGOcOmsXstVkLhruxE,spotify:track:6tqdzGOcOmsXstVkLhruxE,https://api.spotify.com/v1/tracks/6tqdzGOcOmsXstVkLhruxE,https://api.spotify.com/v1/audio-analysis/6tqdzGOcOmsXstVkLhruxE,164690,4,Dark Trap,Cosey's World,,
